# Wall shear stress
# Time          	patch           	min             	max             
1               	bottomWall	(-5.47621592e+01 -1.71044431e+01 -2.85579824e-15)	(8.55958763e+00 2.52431109e+00 1.57415283e-15)
2               	bottomWall	(-4.11722211e+01 -9.87996994e+00 -2.14631591e-15)	(4.72943045e+00 2.95760339e+00 1.07884089e-15)
3               	bottomWall	(-3.57068461e+01 -5.74838944e+00 -5.53032543e-16)	(3.02682684e+00 3.15601228e+00 3.79487632e-16)
4               	bottomWall	(-2.88713772e+01 -4.00648587e+00 -1.38841610e-15)	(2.21056150e+00 3.14337481e+00 1.35478471e-15)
5               	bottomWall	(-2.24665944e+01 -3.13688908e+00 -9.10145376e-16)	(1.76077646e+00 3.12367141e+00 7.07629686e-16)
6               	bottomWall	(-1.70793963e+01 -2.58216461e+00 -5.83107227e-16)	(1.47767206e+00 3.19756661e+00 2.73877781e-16)
7               	bottomWall	(-1.31137705e+01 -2.17052574e+00 -1.03351783e-15)	(1.28088599e+00 3.31130737e+00 4.93035227e-16)
8               	bottomWall	(-1.06267416e+01 -1.86634556e+00 -5.75861725e-16)	(1.13578546e+00 3.36232914e+00 2.71146629e-16)
9               	bottomWall	(-1.06553908e+01 -1.65954418e+00 -4.45425249e-16)	(1.02427213e+00 3.32747979e+00 3.00155651e-16)
10              	bottomWall	(-1.05859889e+01 -1.51495304e+00 -5.62191165e-16)	(9.36362135e-01 3.27783033e+00 4.02161863e-16)
11              	bottomWall	(-1.05742499e+01 -1.39710935e+00 -3.81810712e-16)	(8.64847229e-01 3.28058171e+00 2.45093978e-16)
12              	bottomWall	(-1.06600001e+01 -1.29094389e+00 -3.52433607e-16)	(8.04826364e-01 3.32675647e+00 1.62143963e-16)
13              	bottomWall	(-1.07613696e+01 -1.19960220e+00 -3.93202123e-16)	(7.85171672e-01 3.35924542e+00 1.82325763e-16)
14              	bottomWall	(-1.07945222e+01 -1.12911533e+00 -2.60408764e-16)	(8.01056353e-01 3.34592226e+00 1.64237891e-16)
15              	bottomWall	(-1.07616893e+01 -1.07808185e+00 -3.26125119e-16)	(8.21170191e-01 3.30903484e+00 2.15474008e-16)
16              	bottomWall	(-1.07248826e+01 -1.03963102e+00 -3.30570792e-16)	(8.24079746e-01 3.28990269e+00 2.17768932e-16)
17              	bottomWall	(-1.07254127e+01 -1.00828813e+00 -2.81179219e-16)	(8.14463174e-01 3.30007447e+00 1.87947865e-16)
18              	bottomWall	(-1.07548704e+01 -9.83039314e-01 -2.64124545e-16)	(8.09432024e-01 3.31996452e+00 1.66710471e-16)
19              	bottomWall	(-1.07800378e+01 -9.65116558e-01 -2.54084030e-16)	(8.13397701e-01 3.32701066e+00 1.70716515e-16)
20              	bottomWall	(-1.07826525e+01 -9.54767104e-01 -2.79464850e-16)	(8.15719590e-01 3.31800535e+00 1.87200928e-16)
21              	bottomWall	(-1.07687265e+01 -9.50614638e-01 -2.93315272e-16)	(8.08317179e-01 3.30480502e+00 1.95394388e-16)
22              	bottomWall	(-1.07514586e+01 -9.48528108e-01 -2.83991518e-16)	(7.96389636e-01 3.29697546e+00 1.89919641e-16)
23              	bottomWall	(-1.07370720e+01 -9.48992338e-01 -2.67010824e-16)	(7.89581692e-01 3.29412656e+00 1.80070897e-16)
24              	bottomWall	(-1.07254233e+01 -9.52608278e-01 -2.61785401e-16)	(7.88679683e-01 3.29169148e+00 1.77148542e-16)
25              	bottomWall	(-1.07158048e+01 -9.65395598e-01 -2.70396780e-16)	(7.85656164e-01 3.28810211e+00 1.82141119e-16)
26              	bottomWall	(-1.07085296e+01 -9.77608242e-01 -2.81497184e-16)	(7.74867668e-01 3.28517746e+00 1.88372496e-16)
27              	bottomWall	(-1.07027079e+01 -9.88614686e-01 -2.83708801e-16)	(7.59754045e-01 3.28401275e+00 1.89424772e-16)
28              	bottomWall	(-1.06958058e+01 -9.98436772e-01 -2.77428423e-16)	(7.47739061e-01 3.28303945e+00 1.85741055e-16)
29              	bottomWall	(-1.06865209e+01 -1.00756106e+00 -2.70280207e-16)	(7.41096120e-01 3.28024482e+00 1.81769212e-16)
30              	bottomWall	(-1.06763176e+01 -1.01635489e+00 -2.68974718e-16)	(7.34375000e-01 3.27566450e+00 1.81242623e-16)
31              	bottomWall	(-1.06674845e+01 -1.02475262e+00 -2.72994777e-16)	(7.23001824e-01 3.27105609e+00 1.83703224e-16)
32              	bottomWall	(-1.06604153e+01 -1.03243429e+00 -2.77548847e-16)	(7.07785399e-01 3.26782447e+00 1.86341839e-16)
33              	bottomWall	(-1.06536190e+01 -1.03920518e+00 -2.78708077e-16)	(6.92927983e-01 3.26594617e+00 1.86959454e-16)
34              	bottomWall	(-1.06458288e+01 -1.04517170e+00 -2.76576022e-16)	(6.80744078e-01 3.26458636e+00 1.85686428e-16)
35              	bottomWall	(-1.06373875e+01 -1.05060384e+00 -2.73832817e-16)	(6.69711197e-01 3.26310997e+00 1.84093542e-16)
36              	bottomWall	(-1.06294921e+01 -1.05569029e+00 -2.72798532e-16)	(6.57151122e-01 3.26131717e+00 1.83503581e-16)
37              	bottomWall	(-1.06226674e+01 -1.06043405e+00 -2.73550044e-16)	(6.42427980e-01 3.25912543e+00 1.83950954e-16)
